mechanism,composition,scale,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,leader_index,leader_name,leader_role
independent,free_rider,standard,1.7831700573331364,1.7606139071564777,41.48865690619802,2.530272491746385,15.5,1.7013926184468013,175.3,19.23839363028224,28.164096322545525,4.0974805121540845,140.8204816127276,20.487402560770423,25.452722941963582,2.654961587409593,23.063632539689987,2.422964616572841,64.45,6.723681635595346,0.0,0.0,0.0,0.0,0.0004749616005938151,5.8241781204938846e-05,0.0,0.0,1.0,37.15,4.359200795896808,-3.0,3.612842589838003,8.070481612727615,3.354519163761543,,,,,
voting,free_rider,standard,1.3206428766133773,1.6409416032839004,40.83545150925524,2.074867067356887,11.5,1.7621756887140216,153.5,17.777869151811963,23.456597285272657,3.36436233924507,117.28298642636328,16.82181169622535,11.64705678604297,1.7518335039768445,10.737595369653295,1.5431670821629748,30.87709133913186,4.8017166757957455,57.5,8.81087844357011,11.5,1.7621756887140216,0.0005227692496191594,6.929720370711964e-05,1.0,0.0,1.0,25.7,3.5555738303623925,10.2,3.318211312708923,14.63298642636328,2.6885095054556962,,,,,
adaptive_voting,free_rider,standard,4.220784757636912,6.726513207608119,34.90413478674857,4.406697938357389,38.0,21.961689130704045,303.0,142.65711560093646,47.22563559402566,28.69012949887676,236.12817797012832,143.45064749438384,28.473667584664195,12.288403047299653,26.406218077600233,11.655042113260071,74.23860037427951,34.27324704240042,190.0,109.80844565352022,38.0,21.961689130704045,0.0013919667997470242,0.0010280324009673467,1.0,0.0,0.95,55.85,29.284943140406508,23.1,35.22245097422351,15.17817797012827,12.937898955126425,,,,,
centralized_profit,free_rider,standard,1.8610580826361638,1.7872220729558026,41.021261940860995,2.7809353616256773,16.95,2.605156829302827,182.9,24.646767696692738,28.786142168156363,5.193494749843958,143.93071084078176,25.96747374921978,26.019086265474918,2.6554084645062135,23.644777693233422,2.443771745983196,65.15,6.4687507945588125,101.7,15.63094097581696,16.95,2.605156829302827,0.000581807149501401,0.00011322085167738122,0.2586497843831435,0.0661446844194074,1.0,39.6,5.950674442093894,-4.3,4.280924641882135,8.180710840781774,3.264542182464906,,,0.0,Growth Department,profit
centralized_sustainability,free_rider,standard,65.94664933805869,4.699570531789591,66.52077997817923,1.0813046823841095,100.0,0.0,638.4,17.42774557392532,140.41162262164727,3.8965272219630323,702.0581131082364,19.482636109815175,21.97340380536436,1.2538355498175213,26.040561859449117,1.1520994347895988,67.89188689176363,3.664009093349118,600.0,0.0,100.0,0.0,0.0026560059000985347,0.0005069267369793867,0.9675,0.01650358812660544,0.0,127.95,3.7448209851108123,129.05,3.7763112048385885,124.73311310823638,3.163918863697338,,,2.0,Compliance Department,sustainability
structured_debate,free_rider,standard,1.9184713005677387,1.8800121830669354,42.01024826155843,2.8331291251483064,27.15,5.779045632373275,249.0,50.49231312002379,42.6712926870247,10.238697990527482,213.35646343512354,51.193489952637414,30.386965850380232,5.804459485822699,27.609733112875904,5.294479584992773,77.675,14.636179937329779,407.25,86.68568448559914,54.3,11.55809126474655,0.0012747681001201272,0.00023638960234535636,0.704831448889997,0.07690520303665714,1.0,51.825,11.438939728194356,6.8,5.845376040310117,18.43146343512351,7.093229299530021,,,,,
independent,standard,wide,1.330414711853201,1.6154454094213118,37.43118266132224,3.098198177670243,10.45,1.190974832912761,148.45,14.673553008550343,19.06078936832432,2.6846289587484518,95.30394684162158,13.423144793742257,19.927570611661743,2.1506181173333965,18.52580378410355,1.9709272649375509,46.0,5.399805064707624,0.0,0.0,0.0,0.0,0.00047707704943604766,0.0006300518643259437,0.0,0.0,1.0,40.9,4.3997607590461225,-3.35,4.331949846626137,9.077338547384532,3.8536769140950193,7.7766082942370645,2.372978970380766,,,
voting,standard,wide,1.742908412538302,1.6099973917971713,32.63759299842058,4.283631101487918,9.0,2.9019050004400464,139.0,18.60956177543373,17.202272028734278,3.757180324520168,86.01136014367138,18.78590162260084,6.720052060300155,3.2485065646786913,6.471911940503347,3.269495769673622,16.090740328212874,8.426120967980408,45.0,14.509525002200233,9.0,2.9019050004400464,0.00039216124951053645,8.316561793813314e-05,1.0,0.0,1.0,22.8,3.721912355086746,8.3,9.739231570249645,11.390414951336904,3.294511188927557,20.720945192334472,3.6182767966090785,,,
adaptive_voting,standard,wide,23.448798508833768,22.505980059381876,46.89698758271269,6.443822321814429,86.15,19.298963702748395,616.25,127.32960750496493,107.94045112450127,31.916218647774986,539.7022556225063,159.58109323887493,16.8472254987346,9.487391942145923,17.174664871666394,9.582180618812469,42.90428293873127,23.112082616175744,430.75,96.49481851374198,86.15,19.298963702748395,0.002518361800139246,0.0007141456210256153,1.0,0.0,0.45,121.0,27.55664023520704,101.5,48.73829144144857,82.0801568283642,37.12950339526904,114.12209879414215,26.175020314473727,,,
centralized_profit,standard,wide,2.2279467922067875,1.8068369721884459,37.49803077936644,3.3127809622289304,12.5,2.164303704731799,158.4,19.99315672397617,20.59350022196547,3.202024305153749,102.96750110982734,16.01012152576875,19.711196265290674,2.7932584917703633,18.395976618434457,2.6120991343333926,44.6,6.385839597767943,75.0,12.985822228390793,12.5,2.164303704731799,0.00044530220020533307,7.368905130974433e-05,0.3708843933843934,0.1095604472853902,1.0,42.35,5.769931131578425,-1.4,4.604345773288535,9.547090405525346,3.936212211747166,10.120410704302014,3.218926221022524,0.0,Growth Department,profit
